prise,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
3211350.0,3,81.3,10,28,1.0,"2-й Силикатный проезд, вл. 8",,,,,,,,,,,,,,,,
1950000.0,2,74.2,8,17,1.0,"6-я Радиальная ул.,  5к3",,,,,,,,,,,,,,,,
950000.0,1,42.0,16,17,1.0,"ул. Маршала Савицкого,  12к1",,,,,,,,,,,,,,,,
1890000.0,1,37.6,3,14,0.0,"Пулковская ул., 2",,,,,,,,,,,,,,,,
1758600.0,2,36.0,42,59,1.0,"ул. Верейская, д. 29",,,,,,,,,,,,,,,,
17490000.0,4,176.0,4,7,1.0,"Минская ул.,  2Вк4",,,,,,,,,,,,,,,,
1900000.0,2,59.8,12,12,1.0,"Каширское ш.,  65к2",,,,,,,,,,,,,,,,
4847818.0,3,110.7,4,12,1.0,"ул. Автозаводская, вл. 23/73",,,,,,,,,,,,,,,,
880000.0,1,40.0,1,12,1.0,"Подольская ул.,  33",,,,,,,,,,,,,,,,
2191329.0,1,39.6,5,12,1.0,"ул. Электрозаводская, д. 60",,,,,,,,,,,,,,,,
860000.0,1,26.0,3,15,0.0,"пос. Коммунарка, ул. Потаповская Роща,  20к2",,,,,,,,,,,,,,,,
924476.0,1,31.0,2,16,1.0,"5-я ул. Лесные Поляны, з/у 20А, стр. 1",,,,,,,,,,,,,,,,
3950000.0,3,105.0,4,24,1.0,"Рублёвское ш., 70к6",,,,,,,,,,,,,,,,
2870000.0,3,79.4,19,23,1.0,"Чоботовская ул.,  2к1",,,,,,,,,,,,,,,,
2801990.0,4,109.5,5,25,1.0,"ул. Гурьянова,  19к1",,,,,,,,,,,,,,,,
880000.0,1,40.0,1,12,1.0,"Подольская ул.,  33",,,,,,,,,,,,,,,,
1150000.0,2,46.8,6,9,1.0,"ул. Бехтерева,  41к3",,,,,,,,,,,,,,,,
1050000.0,1,38.1,1,17,1.0,"Гурьевский пр.,  23к1",,,,,,,,,,,,,,,,
1590000.0,1,41.0,6,25,1.0,"ул. Твардовского,  2к5",,,,,,,,,,,,,,,,
1330000.0,2,38.1,5,14,1.0,"Фрязевская ул., 15к3",,,,,,,,,,,,,,,,
1400000.0,2,45.6,4,9,1.0,"Звёздный б-р,  5",,,,,,,,,,,,,,,,
1980000.0,3,72.8,15,16,1.0,"Каширское ш.,  146к1",,,,,,,,,,,,,,,,
1430000.0,3,66.7,1,9,1.0,"ш. Энтузиастов,  94к4",,,,,,,,,,,,,,,,
1730000.0,2,45.0,9,14,1.0,"ул. Красного Маяка,  6",,,,,,,,,,,,,,,,
4110000.0,2,71.0,5,41,1.0,"Шелепихинская наб.,  34к5",,,,,,,,,,,,,,,,
3530000.0,1,49.2,33,52,1.0,"Мичуринский пр-т, 56",,,,,,,,,,,,,,,,
1057500.0,1,21.3,4,6,0.0,"Воротниковский пер.,  4",,,,,,,,,,,,,,,,
1156000.0,2,50.0,18,33,1.0,жилой комплекс Мой Адрес на Клинской,,,,,,,,,,,,,,,,
1790000.0,2,53.0,12,14,1.0,"Большая Черкизовская ул., 20к4",,,,,,,,,,,,,,,,
930000.0,1,32.6,9,9,1.0,"Ярославское ш.,  18",,,,,,,,,,,,,,,,
4500000.0,3,77.0,4,7,1.0,"Садовая-Кудринская ул.,  8-10-12",,,,,,,,,,,,,,,,
1099000.0,2,34.0,4,9,1.0,"ул. Седова,  17к1",,,,,,,,,,,,,,,,
245800.0,1,15.2,2,16,0.0,"ул. Юных Ленинцев,  53к5",,,,,,,,,,,,,,,,
3830000.0,3,71.7,10,37,1.0,"Мосфильмовская ул.,  98к1",,,,,,,,,,,,,,,,
1195000.0,1,42.9,5,37,1.0,"Амурская ул.,  1Ак1",,,,,,,,,,,,,,,,
899900.0,1,20.0,13,33,0.0,"Открытое ш., 18Ак1",,,,,,,,,,,,,,,,
460000.0,1,18.0,2,5,0.0,"Нагорная ул.,  26к1",,,,,,,,,,,,,,,,
660000.0,1,15.6,5,8,0.0,"Электрозаводская ул.,  14с1",,,,,,,,,,,,,,,,
550000.0,2,44.3,8,9,1.0,"Новосибирская ул.,  6к2",,,,,,,,,,,,,,,,
1570000.0,1,24.4,2,4,0.0,"ул. Петровка,  17с2",,,,,,,,,,,,,,,,
1040000.0,1,40.0,8,14,1.0,"ул. Скульптора Мухиной,  10к3",,,,,,,,,,,,,,,,
2090000.0,2,55.5,6,9,1.0,"ул. Шверника,  5к2",,,,,,,,,,,,,,,,
900000.0,1,31.7,3,5,1.0,"Большая Черкизовская ул.,  3к6",,,,,,,,,,,,,,,,
900000.0,1,35.5,8,9,1.0,"ул. Молдагуловой,  22к3",,,,,,,,,,,,,,,,
1130000.0,1,31.3,7,9,1.0,"Дербеневская наб.,  13/17к1",,,,,,,,,,,,,,,,
618000.0,1,20.5,4,5,0.0,"Гостиничный пр.,  6к2",,,,,,,,,,,,,,,,
1250000.0,2,46.0,14,14,1.0,"Широкая ул.,  19к1",,,,,,,,,,,,,,,,
1450000.0,3,60.2,4,9,1.0,"Дубнинская ул.,  30к2",,,,,,,,,,,,,,,,
4890000.0,4,151.0,17,19,1.0,"Полоцкая ул.,  31",,,,,,,,,,,,,,,,
609000.0,1,20.0,5,6,0.0,"Гостиничный пр.,  8к1",,,,,,,,,,,,,,,,
1400000.0,3,59.0,5,9,1.0,"Байкальская ул., 44к1",,,,,,,,,,,,,,,,
