price,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
1525000.0,2.0,53.0,12.0,14.0,1.0,"ул. Академика Комарова,  11","37.589500,55.829401",,,,,,,,,,,,,,,
1717038.0,1.0,31.2,9.0,22.0,1.0,"ул. Полковая, вл. 1","37.599983,55.797817",,,,,,,,,,,,,,,
1695000.0,1.0,34.2,19.0,28.0,1.0,"ул. Золоторожский Вал,  11к18","37.702104,55.750499",,,,,,,,,,,,,,,
1016880.0,2.0,61.5,16.0,45.0,1.0,"Михневская ул.,  8","37.671094,55.579694",,,,,,,,,,,,,,,
1200000.0,2.0,45.0,2.0,9.0,1.0,"ул. 800-летия Москвы,  5к1","37.554484,55.880091",,,,,,,,,,,,,,,
1550000.0,3.0,57.6,2.0,9.0,1.0,"Халтуринская ул.,  17","37.724220,55.803332",,,,,,,,,,,,,,,
630600.0,1.0,35.2,5.0,9.0,1.0,"Чертановская ул.,  43к1","37.591431,55.608363",,,,,,,,,,,,,,,
1350000.0,3.0,78.1,11.0,19.0,1.0,"рп. Дрожжино, Новое ш.,  6к2","37.588413,55.524105",,,,,,,,,,,,,,,
320000.0,1.0,15.0,1.0,5.0,0.0,"Волоколамское ш.,  80А","37.461876,55.820369",,,,,,,,,,,,,,,
5000000.0,2.0,115.0,5.0,6.0,1.0,"Береговая ул.,  4к10","37.470464,55.829633",,,,,,,,,,,,,,,
1315000.0,1.0,37.0,4.0,16.0,1.0,"Ярцевская ул.,  27к7","37.413879,55.743193",,,,,,,,,,,,,,,
4000000.0,3.0,80.0,10.0,24.0,1.0,"Хорошёвское ш.,  25Ак2","37.527238,55.775307",,,,,,,,,,,,,,,
3957200.0,2.0,66.1,10.0,11.0,1.0,"Кутузовский пр-т,  12","37.557268,55.748888",,,,,,,,,,,,,,,
1854999.0,1.0,38.7,3.0,31.0,1.0,"Красноказарменная ул.,  14Ас3","37.708967,55.752460",,,,,,,,,,,,,,,
575000.0,1.0,13.0,2.0,5.0,0.0,"Херсонская ул.,  41А","37.557502,55.653878",,,,,,,,,,,,,,,
1679000.0,2.0,52.0,12.0,12.0,1.0,"10-я Парковая ул.,  4","37.803065,55.794335",,,,,,,,,,,,,,,
2500000.0,3.0,56.0,1.0,9.0,1.0,"Старая Басманная ул., 9к2","37.657071,55.765817",,,,,,,,,,,,,,,
1294022.0,2.0,46.0,2.0,21.0,1.0,"пр-д Автомобильный, вл. 4","37.697576,55.730193",,,,,,,,,,,,,,,
1350000.0,2.0,47.0,7.0,14.0,1.0,"Полярная ул.,  50","37.646238,55.888574",,,,,,,,,,,,,,,
12700000.0,3.0,131.0,5.0,7.0,1.0,"ул. Льва Толстого,  23к7с3","37.497486,55.772502",,,,,,,,,,,,,,,
1450000.0,2.0,52.5,4.0,12.0,1.0,"ул. Ивана Франко,  38к1","37.414490,55.728418",,,,,,,,,,,,,,,
310000.0,1.0,13.8,1.0,5.0,0.0,"Новогиреевская ул.,  16к1","37.793229,55.760859",,,,,,,,,,,,,,,
1045000.0,2.0,45.8,12.0,12.0,1.0,"Шипиловская ул.,  64к1","37.753667,55.622970",,,,,,,,,,,,,,,
985000.0,2.0,38.9,13.0,14.0,1.0,"Вешняковская ул.,  28/21к2","37.819568,55.718060",,,,,,,,,,,,,,,
434005.0,1.0,12.1,1.0,9.0,0.0,"Каширское ш.,  128к2","37.717672,55.602973",,,,,,,,,,,,,,,
1550000.0,3.0,60.3,2.0,9.0,1.0,"Нагатинская наб.,  34","37.669360,55.684777",,,,,,,,,,,,,,,
1100000.0,1.0,38.6,5.0,12.0,1.0,"Студёный пр.,  19","37.670492,55.893319",,,,,,,,,,,,,,,
334000.0,1.0,16.7,1.0,4.0,0.0,"пр-т Мира,  77к1","37.634299,55.789942",,,,,,,,,,,,,,,
4020000.0,2.0,78.0,16.0,24.0,1.0,"Верхняя ул.,  20к1","37.574381,55.779216",,,,,,,,,,,,,,,
900000.0,1.0,27.0,3.0,7.0,0.0,"Нижегородская ул.,  32с3","37.690255,55.737020",,,,,,,,,,,,,,,
5178800.0,4.0,115.9,2.0,10.0,1.0,"Кутузовский пр-т,  30","37.473770,55.697346",,,,,,,,,,,,,,,
2050000.0,3.0,80.0,4.0,5.0,1.0,"Судостроительная ул.,  26к1","37.683643,55.683163",,,,,,,,,,,,,,,
1500000.0,2.0,51.3,15.0,16.0,1.0,"Кировоградская ул.,  19к1","37.602535,55.605760",,,,,,,,,,,,,,,
1260000.0,2.0,37.7,1.0,14.0,1.0,"Озёрная ул.,  31к3","37.451932,55.672311",,,,,,,,,,,,,,,
1010000.0,1.0,24.0,2.0,6.0,0.0,"Гагаринский пер.,  14","37.594755,55.744799",,,,,,,,,,,,,,,
1150000.0,2.0,51.2,8.0,17.0,1.0,"ул. Лётчика Грицевца,  12","37.311229,55.624179",,,,,,,,,,,,,,,
460000.0,1.0,20.5,2.0,5.0,0.0,"Яснополянская ул.,  3к2","37.787354,55.722664",,,,,,,,,,,,,,,
1500000.0,2.0,51.3,15.0,16.0,1.0,"Кировоградская ул.,  19к1","37.602535,55.605760",,,,,,,,,,,,,,,
2510640.0,3.0,88.7,8.0,12.0,1.0,"3-й Балтийский пер.,  6к3","37.415002,55.719009",,,,,,,,,,,,,,,
999900.0,2.0,47.1,11.0,14.0,1.0,"Вешняковская ул.,  28/21к2","37.819568,55.718060",,,,,,,,,,,,,,,
435000.0,1.0,11.7,1.0,9.0,0.0,"Уральская ул., 8","37.799472,55.815802",,,,,,,,,,,,,,,
440000.0,1.0,20.7,2.0,5.0,0.0,"ул. Металлургов,  33","37.794972,55.760074",,,,,,,,,,,,,,,
427500.0,1.0,17.1,1.0,17.0,0.0,"ул. Барышиха,  40к1","37.343892,55.852940",,,,,,,,,,,,,,,
1330000.0,1.0,40.1,6.0,24.0,1.0,"Варшавское ш.,  100к1","37.618884,55.646243",,,,,,,,,,,,,,,
1725000.0,1.0,26.7,2.0,5.0,0.0,"ул. Петровка,  26с5","37.616988,55.766172",,,,,,,,,,,,,,,
6940000.0,3.0,137.5,12.0,24.0,1.0,"ул. Авиаконструктора Сухого,  2к1","37.542572,55.786414",,,,,,,,,,,,,,,
2750000.0,2.0,44.0,9.0,12.0,1.0,"2-й Монетчиковский пер.,  2/12","37.628999,55.731739",,,,,,,,,,,,,,,
1699999.0,3.0,58.3,7.0,9.0,1.0,"Тепличный пер.,  7","37.494476,55.791582",,,,,,,,,,,,,,,
1780000.0,3.0,76.6,9.0,17.0,1.0,"Паромная ул.,  9к1","37.763055,55.636976",,,,,,,,,,,,,,,
1399000.0,1.0,40.6,9.0,11.0,1.0,"б-р Андрея Тарковского,  7","37.343919,55.626594",,,,,,,,,,,,,,,
1030000.0,1.0,36.0,3.0,12.0,1.0,"Дмитровское ш.,  64к2","37.562775,55.856043",,,,,,,,,,,,,,,
455000.0,1.0,10.0,1.0,5.0,0.0,"ул. Чаплыгина,  8с1","37.646830,55.763366",,,,,,,,,,,,,,,
860000.0,1.0,28.0,3.0,4.0,0.0,"2-й Вольный пер.,  11","37.739240,55.773793",,,,,,,,,,,,,,,
1100000.0,1.0,28.0,2.0,6.0,0.0,"Трёхпрудный пер.,  10/2","37.597531,55.765412",,,,,,,,,,,,,,,
4870000.0,3.0,98.0,11.0,18.0,1.0,"Ленинградский пр-т,  29к1","37.564042,55.785169",,,,,,,,,,,,,,,
999000.0,1.0,35.1,6.0,14.0,1.0,"ул. Коминтерна,  26к2","37.684847,55.866223",,,,,,,,,,,,,,,
