price,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
3253185.0,2.0,74.7,27.0,40.0,1.0,"ул. Большая Тульская, д. 10","37.618794,55.707755",,,,,,,,,,,,,,,
4020588.0,3.0,92.3,26.0,34.0,1.0,"Ленинградское ш., стр. 7.1","37.618794,55.707755",,,,,,,,,,,,,,,
1608593.0,1.0,26.5,39.0,43.0,0.0,"ул. 2-я Хуторская, вл. 34","37.571076,55.806110",,,,,,,,,,,,,,,
2996835.0,3.0,72.3,12.0,30.0,1.0,"ул. Ивана Франко, корп. 5","37.571076,55.806110",,,,,,,,,,,,,,,
2156815.0,2.0,57.0,22.0,32.0,1.0,"Кавказский б-р, д. 51","37.571076,55.806110",,,,,,,,,,,,,,,
7025975.0,3.0,88.1,27.0,36.0,1.0,"пр-т Ленинградский, вл. 8","37.571076,55.806110",,,,,,,,,,,,,,,
3389001.0,1.0,44.1,13.0,36.0,1.0,"пр-т Ленинградский, вл. 8","37.571076,55.806110",,,,,,,,,,,,,,,
850000.0,1.0,34.2,5.0,16.0,1.0,"Харьковский пр.,  11к4","37.571076,55.806110",,,,,,,,,,,,,,,
5725003.0,2.0,82.4,29.0,36.0,1.0,"пр-т Ленинградский, вл. 8","37.571076,55.806110",,,,,,,,,,,,,,,
10787897.0,3.0,105.8,3.0,10.0,1.0,"ул. Братьев Фонченко, стр. 8","37.571076,55.806110",,,,,,,,,,,,,,,
4127610.0,4.0,91.5,11.0,22.0,1.0,"ул. Полковая, вл. 1","37.571076,55.806110",,,,,,,,,,,,,,,
1149900.0,2.0,45.0,8.0,9.0,1.0,"Коровинское ш., 15к1","37.571076,55.806110",,,,,,,,,,,,,,,
2394100.0,2.0,53.8,54.0,59.0,1.0,"ул. Верейская, д. 29","37.571076,55.806110",,,,,,,,,,,,,,,
2981494.0,2.0,75.5,4.0,14.0,1.0,"ул. Автозаводская, вл. 23/75","37.571076,55.806110",,,,,,,,,,,,,,,
1099000.0,2.0,47.0,2.0,12.0,1.0,"Нижегородская ул.,  84","37.571076,55.806110",,,,,,,,,,,,,,,
3989375.0,1.0,50.7,11.0,85.0,1.0,"Краснопресненская набережная, вл. 14/15","37.545303,55.751974",,,,,,,,,,,,,,,
2260037.0,2.0,55.9,22.0,28.0,1.0,"2-й Силикатный проезд, вл. 8","37.506136,55.769119",,,,,,,,,,,,,,,
1149000.0,1.0,38.0,17.0,17.0,1.0,"Халтуринская ул.,  20","37.725550,55.806530",,,,,,,,,,,,,,,
1784157.0,1.0,33.9,8.0,40.0,0.0,"ул. Большая Тульская, д. 10","37.618794,55.707755",,,,,,,,,,,,,,,
1922782.0,1.0,34.3,12.0,13.0,0.0,"Подольское ш., вл. 3","37.624480,55.713248",,,,,,,,,,,,,,,
1532683.0,1.0,36.1,4.0,30.0,1.0,"ул. Вишнёвая, д. 7","37.445832,55.830210",,,,,,,,,,,,,,,
1307577.0,1.0,32.4,4.0,12.0,0.0,"ул. Ивана Франко, корп. 4.2","37.454375,55.728170",,,,,,,,,,,,,,,
1352182.0,1.0,22.9,17.0,44.0,0.0,"ул. Ивана Франко, корп. 4.1","37.453118,55.728018",,,,,,,,,,,,,,,
445000.0,1.0,11.1,2.0,8.0,0.0,"Бутырская ул.,  53к3","37.582565,55.800909",,,,,,,,,,,,,,,
2089813.0,2.0,56.6,39.0,48.0,1.0,"ул. Вишнёвая, д. 7","37.445832,55.830210",,,,,,,,,,,,,,,
4638000.0,3.0,120.4,11.0,30.0,1.0,"Ленинский пр-т,  98к1","37.515371,55.669899",,,,,,,,,,,,,,,
2023122.0,1.0,43.8,19.0,40.0,1.0,"1-й Красногорский пр-д, корп. 2.3","37.486607,55.811993",,,,,,,,,,,,,,,
1012910.0,1.0,37.2,6.0,16.0,1.0,"5-я ул. Лесные Поляны, з/у 20А, стр. 1","37.685269,56.207233",,,,,,,,,,,,,,,
5588861.0,2.0,82.3,17.0,36.0,1.0,"пр-т Ленинградский, вл. 8","37.580939,55.780335",,,,,,,,,,,,,,,
1720000.0,2.0,58.4,3.0,25.0,1.0,"ул. Молодцова,  31к2","37.622369,55.878703",,,,,,,,,,,,,,,
1720000.0,2.0,58.4,3.0,25.0,1.0,"ул. Молодцова,  31к2","37.622369,55.878703",,,,,,,,,,,,,,,
1012910.0,1.0,37.2,6.0,16.0,1.0,"5-я ул. Лесные Поляны, з/у 20А, стр. 1","37.685269,56.207233",,,,,,,,,,,,,,,
5588861.0,2.0,82.3,17.0,36.0,1.0,"пр-т Ленинградский, вл. 8","37.580939,55.780335",,,,,,,,,,,,,,,
3027027.0,3.0,82.1,25.0,59.0,1.0,"ул. Верейская, д. 29","37.436292,55.711032",,,,,,,,,,,,,,,
820000.0,1.0,38.0,2.0,12.0,1.0,"ул. Корнейчука,  42","37.630724,55.897236",,,,,,,,,,,,,,,
5995579.0,2.0,74.6,15.0,36.0,1.0,"пр-т Ленинградский, вл. 8","37.580939,55.780335",,,,,,,,,,,,,,,
2772097.0,3.0,78.1,12.0,30.0,1.0,"ул. Вишнёвая, д. 7","37.445832,55.830210",,,,,,,,,,,,,,,
4047678.0,2.0,62.1,5.0,8.0,1.0,"ул. Часовая, стр. 1.1","37.445832,55.830210",,,,,,,,,,,,,,,
3524332.0,2.0,76.4,31.0,40.0,1.0,"ул. Большая Тульская, д. 10","37.618794,55.707755",,,,,,,,,,,,,,,
370000.0,1.0,15.0,1.0,9.0,0.0,"ул. 50 лет Октября,  23к1","37.411544,55.655300",,,,,,,,,,,,,,,
3353000.0,3.0,116.5,22.0,29.0,1.0,"ш. Перовское, стр. 1","37.735198,55.733680",,,,,,,,,,,,,,,
1215654.0,1.0,31.0,22.0,32.0,0.0,"Кавказский б-р, д. 51","37.644073,55.627829",,,,,,,,,,,,,,,
19071000.0,5.0,211.9,17.0,19.0,1.0,"пр-т Академика Сахарова, д. 7","37.643767,55.771145",,,,,,,,,,,,,,,
