price,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel,college,school,kindergarten
4860000.0,2.0,56.0,4.0,7.0,1.0,"Шлюзовая наб.,  2А","37.644019,55.730953",3230.0,4.0,6.0,2.0,0.0,3.0,4.0,0.0,6.0,4.0,4.0,6.0,5.0,7.0,9.0,5.0,5.0,6.0
4500000.0,2.0,85.0,32.0,51.0,1.0,"Шмитовский пр.,  39к8","37.526295,55.751665",5760.0,4.0,6.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,1.0,7.0,6.0,4.0,7.0,1.0,4.0,5.0
2900000.0,4.0,100.0,16.0,22.0,1.0,"ул. Островитянова,  32","37.523240,55.632540",14960.0,2.0,6.0,2.0,0.0,0.0,5.0,0.0,4.0,2.0,3.0,7.0,5.0,4.0,3.0,0.0,6.0,6.0
435100.0,1.0,13.6,1.0,9.0,0.0,"Юрловский пр.,  19","37.615919,55.871961",12930.0,1.0,5.0,1.0,0.0,0.0,3.0,0.0,5.0,3.0,0.0,6.0,6.0,3.0,3.0,1.0,6.0,6.0
2500000.0,2.0,59.3,21.0,23.0,1.0,"ул. Берзарина,  30","37.474444,55.790712",9790.0,1.0,6.0,1.0,0.0,0.0,6.0,0.0,3.0,1.0,2.0,7.0,6.0,4.0,2.0,3.0,6.0,6.0
29140000.0,2.0,186.0,6.0,6.0,1.0,"Пречистенская наб.,  5","37.600846,55.736584",2390.0,4.0,7.0,4.0,0.0,3.0,4.0,0.0,1.0,0.0,7.0,7.0,4.0,4.0,6.0,0.0,7.0,6.0
2800000.0,3.0,116.0,1.0,5.0,1.0,"ул. Гончарова,  17Ак4","37.588144,55.817638",7120.0,2.0,5.0,4.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0
530000.0,1.0,20.0,1.0,9.0,0.0,"Ореховый б-р,  37к3","37.736994,55.616437",17240.0,4.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,7.0,6.0,5.0,3.0,2.0,6.0,6.0
4300000.0,2.0,63.1,16.0,21.0,1.0,"Пресненская наб.,  10с2","37.535071,55.747622",5270.0,4.0,6.0,2.0,0.0,4.0,3.0,0.0,4.0,2.0,1.0,8.0,6.0,6.0,7.0,1.0,6.0,4.0
6328800.0,3.0,93.3,7.0,10.0,1.0,"ул. Малая Полянка,  2","37.616773,55.736427",2160.0,2.0,7.0,6.0,0.0,5.0,6.0,0.0,4.0,1.0,7.0,7.0,6.0,7.0,7.0,1.0,5.0,6.0
2940000.0,2.0,51.0,30.0,46.0,1.0,"Дубининская ул., 59А","37.637093,55.718486",4340.0,1.0,5.0,1.0,0.0,3.0,4.0,0.0,2.0,2.0,2.0,6.0,6.0,5.0,6.0,4.0,5.0,3.0
890000.0,1.0,32.8,4.0,9.0,1.0,"Днепропетровская ул.,  31","37.586006,55.618679",15400.0,2.0,6.0,2.0,0.0,2.0,5.0,0.0,2.0,3.0,1.0,6.0,5.0,3.0,3.0,0.0,9.0,5.0
1777000.0,2.0,40.5,9.0,9.0,1.0,"ул. Пресненский Вал,  8к1","37.564868,55.765357",3480.0,0.0,6.0,3.0,0.0,3.0,2.0,0.0,5.0,0.0,4.0,8.0,6.0,5.0,7.0,2.0,6.0,4.0
1430020.0,2.0,49.9,21.0,45.0,1.0,"ш. Перовское, д. 21, корп. 1","37.746552,55.736159",8380.0,2.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,6.0,4.0,3.0,1.0,4.0,6.0,4.0
435000.0,1.0,11.7,1.0,9.0,0.0,"Уральская ул.,  8","37.619522,55.732550",13210.0,7.0,7.0,4.0,0.0,5.0,6.0,0.0,4.0,0.0,3.0,6.0,5.0,7.0,7.0,3.0,5.0,6.0
1250000.0,1.0,32.9,5.0,12.0,1.0,"Большая Очаковская ул.,  15","37.458346,55.682640",12910.0,2.0,6.0,2.0,0.0,1.0,6.0,0.0,3.0,2.0,1.0,7.0,4.0,3.0,1.0,1.0,5.0,6.0
312000.0,1.0,13.0,1.0,5.0,0.0,"Мытная ул.,  25","37.619971,55.716336",4400.0,1.0,6.0,1.0,0.0,2.0,6.0,0.0,3.0,2.0,0.0,6.0,6.0,5.0,5.0,2.0,5.0,5.0
2000000.0,2.0,60.0,18.0,18.0,1.0,"Жигулёвская ул.,  3Ак2","37.765749,55.712320",10490.0,2.0,6.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,6.0,4.0,6.0,4.0,1.0,7.0,6.0
